Job ID,CCS Category,Job Type,Job Statement,Persona,Context,Evidence,Documentation Section,Source Books,Source Modules,Status,Priority,Notes
JOB-011,Install,Main Job,Install GitOps CLI via RPM,developer,,"For Red Hat Enterprise Linux version 8 or later, you can install the GitOps argocd CLI as an RPM by using a package manager",Installing the GitOps CLI,installing_gitops,modules/gitops-installing-argocd-cli-on-linux-using-rpm.adoc,Documented,,
JOB-012,Install,Main Job,Install GitOps Operator via CLI,cluster administrator,,You can install OpenShift GitOps Operator from the OperatorHub by using the CLI,Installing OpenShift GitOps,installing_gitops,modules/installing-gitops-operator-using-cli.adoc,Documented,,
JOB-013,Install,Main Job,Install GitOps Operator via web console,cluster administrator,,This guide explains how to install the OpenShift GitOps Operator to an OpenShift Container Platform cluster,Installing OpenShift GitOps,installing_gitops,modules/installing-gitops-operator-in-web-console.adoc,Documented,,
JOB-014,Install,Main Job,"When deploying Argo CD instances, I want to manage resource allocation for workloads, so I can ensure optimal performance and meet namespace resource quotas",Platform Administrator,Deploying and managing Argo CD instances in resource-constrained environments,"With the Argo CD custom resource (CR), you can create, update, and delete resource requests and limits for Argo CD workloads",Configuring resource quota or requests,managing_resource,managing_resource,Documented,,
JOB-015,Install,User Story,Complete installation and verify deployment,cluster administrator,,Verify that the OpenShift GitOps Operator is listed in Operators -> Installed Operators. The Status should resolve to Succeeded,Installing OpenShift GitOps Operator in web console,installing_gitops,modules/installing-gitops-operator-in-web-console.adoc,Documented,,
JOB-016,Install,User Story,Configure Operator installation settings,cluster administrator,,"On the Install Operator page: Select an Update channel, Select a GitOps Version to install, Choose an Installed Namespace",Installing OpenShift GitOps Operator in web console,installing_gitops,modules/installing-gitops-operator-in-web-console.adoc,Documented,,
JOB-017,Install,User Story,Create and apply OperatorGroup,cluster administrator,,"Create a OperatorGroup object YAML file, for example, gitops-operator-group.yaml",Installing OpenShift GitOps Operator using CLI,installing_gitops,modules/installing-gitops-operator-using-cli.adoc,Documented,,
JOB-018,Install,User Story,Create and configure Operator namespace,cluster administrator,,Create a `openshift-gitops-operator` namespace,Installing OpenShift GitOps Operator using CLI,installing_gitops,modules/installing-gitops-operator-using-cli.adoc,Documented,,
JOB-019,Install,User Story,Download and extract CLI archive,developer,,Download the latest version of the CLI tool from the content gateway for your operating system and architecture,Installing the OpenShift GitOps CLI on Linux,installing_gitops,"modules/gitops-installing-argocd-cli-on-linux.adoc, modules/gitops-installing-argocd-cli-on-windows.adoc, modules/gitops-installing-argocd-cli-on-macos.adoc",Documented,,
JOB-020,Install,User Story,Install CLI binary to PATH,developer,,Move the binary to a directory on your PATH environment variable,Installing the OpenShift GitOps CLI on Linux,installing_gitops,"modules/gitops-installing-argocd-cli-on-linux.adoc, modules/gitops-installing-argocd-cli-on-macos.adoc",Documented,,
JOB-021,Install,User Story,Install CLI to PATH,developer,,Move the binary to a directory on your PATH environment variable,Installing the OpenShift GitOps CLI on Windows,installing_gitops,modules/gitops-installing-argocd-cli-on-windows.adoc,Documented,,
JOB-022,Install,User Story,Install and verify CLI package,developer,,Install the openshift-gitops-argocd-cli package,Installing the OpenShift GitOps CLI on Linux using an RPM,installing_gitops,modules/gitops-installing-argocd-cli-on-linux-using-rpm.adoc,Documented,,
JOB-023,Install,User Story,Navigate to OperatorHub and locate GitOps Operator,cluster administrator,,Open the Administrator perspective of the web console and go to Operators -> OperatorHub,Installing OpenShift GitOps Operator in web console,installing_gitops,modules/installing-gitops-operator-in-web-console.adoc,Documented,,
JOB-024,Install,User Story,Register system and enable GitOps repositories,developer,,Register with Red Hat Subscription Manager by running the following command,Installing the OpenShift GitOps CLI on Linux using an RPM,installing_gitops,modules/gitops-installing-argocd-cli-on-linux-using-rpm.adoc,Documented,,
JOB-025,Install,User Story,Subscribe namespace to GitOps Operator,cluster administrator,,Create a Subscription object YAML file to subscribe a namespace to the OpenShift GitOps Operator,Installing OpenShift GitOps Operator using CLI,installing_gitops,modules/installing-gitops-operator-using-cli.adoc,Documented,,
JOB-026,Install,User Story,Verify CLI installation,developer,,"After you install the GitOps argocd CLI, verify that it is available",Installing the OpenShift GitOps CLI on Linux,installing_gitops,"modules/gitops-installing-argocd-cli-on-linux.adoc, modules/gitops-installing-argocd-cli-on-windows.adoc, modules/gitops-installing-argocd-cli-on-macos.adoc",Documented,,
JOB-027,Install,User Story,Verify GitOps pod deployment,cluster administrator,,"After the installation is complete, verify that all the pods in the openshift-gitops namespace are running",Installing OpenShift GitOps Operator using CLI,installing_gitops,modules/installing-gitops-operator-using-cli.adoc,Documented,,
JOB-028,Configure,Main Job,"When managing GitOps console components, I want to configure resource allocation for plugin and backend services, so I can control memory usage and ensure stable performance",Platform Administrator,Managing OpenShift GitOps console plugin resource consumption,You can configure CPU and memory resource requests and limits for the {gitops-shortname} console plugin and its backend cluster components,Configure resource requests and limits for GitOps plugin components,managing_resource,managing_resource,Documented,,
JOB-029,Configure,User Story,"When configuring GitOps plugin resources, I want to set specific requests and limits via GitOpsService CR, so I can address memory and performance issues in console components",Platform Administrator,Configuring GitOps console plugin resource allocation,"To enable resource configuration for the {gitops-shortname} plugin components, specify the .spec.consolePlugin.backend.resources field for the backend component and the .spec.consolePlugin.gitopsPlugin.resources field",Enabling the GitOpsService custom resource,managing_resource,managing_resource,Documented,,
JOB-030,Configure,User Story,"When setting up a new Argo CD instance, I want to configure resource requests and limits for all workloads, so I can deploy in namespaces with resource quotas",Platform Administrator,Initial Argo CD instance deployment in quota-restricted namespace,You can create Argo CD custom resource workloads with resource requests and limits. This is required when you want to deploy the Argo CD instance in a namespace that is configured with resource quotas,Configuring workloads with resource requests and limits,managing_resource,managing_resource,Documented,,
JOB-031,Secure,User Story,Authenticate with OpenShift credentials,cluster administrator,,"To log in with your OpenShift Container Platform credentials, ensure you are a user of the cluster-admins group and then select the LOG IN VIA OPENSHIFT option",Logging in to the Argo CD instance by using the Argo CD admin account,installing_gitops,modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc,Documented,,
JOB-032,Secure,User Story,Authenticate with admin credentials,cluster administrator,,Use `admin` as the Username and the copied password as the Password to log in to the Argo CD UI,Logging in to the Argo CD instance by using the Argo CD admin account,installing_gitops,modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc,Documented,,
JOB-033,Secure,User Story,Navigate to Argo CD UI,cluster administrator,,Navigate to the menu -> OpenShift GitOps -> Cluster Argo CD. The login page of the Argo CD UI is displayed in a new window,Logging in to the Argo CD instance by using the Argo CD admin account,installing_gitops,modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc,Documented,,
