"Mapping existing content to jobs
Usage:
- Use this tab to map your existing content to the jobs and categories identified in the Job Spreadsheet Template
Tip:
,,"When setting up GitOps infrastructure, I want to understand the Argo CD custom resource properties, so I can configure my Argo CD cluster to meet my organization's requirements",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,"When I need to implement continuous deployment for cloud-native applications, I want to use a declarative approach that manages infrastructure and application configurations through Git, so I can create repeatable processes across multi-cluster Kubernetes environments and automate complex deployments",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When planning a GitOps deployment or upgrade, I want to verify component compatibility with my OpenShift version, so I can ensure all features will work correctly in my environment.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When evaluating new GitOps features, I want to identify which features are in Technology Preview versus General Availability, so I can decide whether they are safe to use in production.",,,,,,
,,"When planning my Argo CD deployment, I want to understand the default permission model, so I can determine what additional permissions I need to configure.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,"When planning an upgrade, I want to know which features are being deprecated or removed, so I can prepare for migration and avoid breaking my existing deployments.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing OpenShift GitOps Operator from your cluster"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Chapter 1. Uninstalling Red Hat OpenShift GitOps"")",,,
,,"When implementing continuous deployment for cloud native applications, I want to understand what GitOps can help me achieve, so I can determine if it fits my use case.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,,,,,,,
Install,,,,,,,,
,,"When managing multiple users accessing Argo CD, I want to configure single sign-on integration, so I can centralize authentication and leverage existing identity providers",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Configuring user authentication and access controls for users and namespaces"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Chapter 1. Configuring Argo CD RBAC"")",,,
,,"When setting up GitOps environments, I want to configure proper labels and annotations on application and namespace manifests, so I can ensure the environment displays correctly in the OpenShift web console",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Configuring user authentication and access controls for users and namespaces"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Chapter 1. Configuring Argo CD RBAC"")",,,
,,"When configuring repository server component, I want to set resource limits, TLS settings, timeouts, and replicas, so I can ensure reliable Git repository access and rendering performance",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Configuring resource requests and limits for Argo CD workloads"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Chapter 1. Configuring resource quota or requests"")",,,
,,,,,,,,
Configure,,,,,,,,
,,"When deploying Argo CD in a namespace with resource quotas, I want to configure resource requests and limits for Argo CD workloads, so I can ensure successful deployment and prevent quota-related failures.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Configuring resource requests and limits for Argo CD workloads"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Chapter 1. Configuring resource quota or requests"")",,,
,,"When I need to manage cluster-scoped resources with GitOps, I want to configure my Argo CD instance with appropriate permissions, so I can automate cluster configuration through Git without manual intervention.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_instance"",""Argo CD instance"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_instance"",""Argo CD instance"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_instance"",""Installing and deploying Argo CD instances, enabling notifications with an Argo CD instance, and configuring the NotificationsConfiguration CR"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_instance"",""Argo CD instance"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_instance"",""Chapter 1. Setting up an Argo CD instance"")",,,
,,"When default Argo CD permissions are insufficient, I want to create custom cluster roles and bindings, so I can enable Argo CD to manage additional cluster resources securely.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Configuring user authentication and access controls for users and namespaces"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Access control and user management"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/access_control_and_user_management"",""Chapter 1. Configuring Argo CD RBAC"")",,,
,,"When operating a production cluster with infrastructure nodes, I want to run Argo CD on dedicated infrastructure nodes, so I can isolate GitOps workloads from application workloads and ensure predictable performance.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,,,,,,,
Deploy,,,,,,,,
,,"When I need to deploy cluster configurations via GitOps, I want to create an Argo CD application pointing to my Git repository, so I can manage cluster state declaratively.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When managing cluster configuration as code, I want to automate Operator installation via GitOps, so I can eliminate manual Operator installation procedures and ensure consistent Operator deployments across clusters.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/installing_gitops"",""Installing GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/installing_gitops"",""Installing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/installing_gitops"",""Installing the OpenShift GitOps Operator, logging in to the Argo CD instance, and installing the GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/installing_gitops"",""Installing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/installing_gitops"",""Chapter 1. Preparing to install Red Hat OpenShift GitOps"")",,,
,,"When my Argo CD application is created with manual sync policy, I want to trigger synchronization, so I can apply Git repository changes to the cluster in a controlled manner.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When deploying applications to multiple clusters in different environments, I want to ensure consistency using a GitOps tool that maintains cluster resources through continuous monitoring and reconciliation, so I can keep configurations in sync with their desired state",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Configuring resource requests and limits for Argo CD workloads"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Managing resource use"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/managing_resource_use"",""Chapter 1. Configuring resource quota or requests"")",,,
,,,,,,,,
Administer,,,,,,,,
,,"When setting up GitOps alerting, I want to enable the Argo CD notifications controller, so I can receive alerts about application sync status and operational events",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When operating GitOps-managed applications, I want to monitor the health and synchronization status of all environment deployments, so I can quickly identify and address issues impacting application availability",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When I need to troubleshoot GitOps deployments or understand system behavior, I want to access and view Argo CD logs, so I can diagnose issues and monitor the health of my GitOps workflows.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,"When my Argo CD workload increases, I want to scale server and repo server replicas, so I can distribute load and maintain responsive performance for users and Git operations.",,,,,,
,,"When I no longer need GitOps functionality or want to clean up my cluster, I want to remove OpenShift GitOps completely, so I can free up cluster resources and eliminate unused components.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing OpenShift GitOps Operator from your cluster"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Removing GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/removing_gitops"",""Chapter 1. Uninstalling Red Hat OpenShift GitOps"")",,,
,,,,,,,,
Troubleshoot,,,,,,,,
,,"When managing OpenShift nodes through GitOps workflows with machine configurations, I want to understand how MCO auto-reboots interact with Argo CD sync operations, so I can anticipate and prevent disruptions to my GitOps automation.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,"When I encounter issues with my GitOps deployment, I want to collect comprehensive diagnostic information, so I can provide Red Hat Support with the data needed to resolve my issue quickly.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,"When experiencing issues with the current version, I want to check if my problem is a known bug that has been fixed in the new release, so I can decide if upgrading will resolve my issue.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Highlights of what is new and what has changed with this OpenShift GitOps release"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Chapter 1. Red Hat OpenShift GitOps release notes"")",,,
,,"When planning to deploy or upgrade GitOps, I want to be aware of known issues and their workarounds, so I can avoid or mitigate problems proactively.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Creating and deploying applications on the OpenShift cluster by using the Argo CD dashboard, oc tool, or GitOps CLI"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Argo CD applications"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/argo_cd_applications"",""Chapter 1. Deploying a Spring Boot application with Argo CD"")",,,
,,,,,,,,
